Milestone,Build Tag,Release Date
6.1.0M1,20150812_1515,2015-08-13
6.1.0M2,20150902_1604,2015-09-03
6.1.0RC1,20150924_1412,2015-09-25
6.1.1,20151214_1327,2015-12-16
6.1.2,20160912_1228,2016-09-14
6.2.0,20160510_1709,2016-05-13
6.2.0EP,20160510_1929,2016-05-13
6.2.0M1,20160113_1234,2016-01-14
6.2.0M2,20160217_1258,2016-02-18
6.2.0M3,20160317_1358,2016-03-18
6.2.0RC1,20160414_1249,2016-04-15
6.2.1,20160704_1411,2016-07-06
6.2.2,20170124_1318,2017-01-30
6.3.0,20161026_1219,2016-10-28
6.3.0EP,20161026_1012,2016-10-28
6.3.0M1,20160803_1127,2016-08-04
6.3.0M2,20160901_1543,2016-09-02
6.3.0RC1,20160928_1335,2016-09-29
6.3.1,20161216_1026,2017-01-20
6.3.2,20170917_1316,2017-09-17
6.4.0/EP,20170510_1410,2017-05-12
6.4.0M1,20170214_1432,2017-02-16
6.4.0M2,20170315_1443,2017-03-15
6.4.0RC1,20170412_1448,2017-04-12
6.4.1,20170623_1246,2017-06-30
6.5.0M1,20170725_1102,2017-07-28
6.5.0M2,20170829_1119,2017-09-05
6.5.1,20180116_1512,2018-01-23
6.5.1EP,20171215_1808,2017-12-18
6.5.1M4,20171024_1518,2017-11-10
7.0.1,20180411_1414,2018-04-13
7.0.1EP,20180131_1240,2018-02-02
7.0.1EP2,20180313_1419,2018-03-15
7.0.1M1,20171115_1047,2017-11-20
7.0.1M2,20171219_1109,2017-12-22
7.1.1,20181026_1147,2018-10-29
7.1.1M1,20180627_1546,2018-06-29
7.1.1M2,20180724_1359,2018-07-26
7.1.1M3,20180829_1603,2018-08-31
7.1.1M4,20180927_1104,2018-09-28
7.2.1,20190620_1446,2019-06-24
7.2.1M1,20181218_1206,2018-12-28
7.2.1M2,20190131_1157,2019-02-04
7.2.1M3,20190228_1114,2019-03-05
7.2.1M3,20190325_1906,2019-04-04
7.2.1M4,20190325_1906,2019-03-29
7.2.1M5,20190424_1503,2019-04-30
7.2.1M6,20190523_1134,2019-05-29
7.3.1M1,20190827_1309,2019-09-06
7.3.1M2,20190924_1038,2019-09-27
7.3.1M3,20191031_1204,2019-11-04
7.3.1M4,20191127_1543,2019-12-03
7.3.1M5,20191218_1127,2019-12-26
7.3.1M6,20200117_1600,2020-01-22
7.3.1,20200219_1130,2020-02-27
7.4.1M2,20200916_1624,2020-09-21
7.4.1M3,20201015_1726,2020-10-19
7.4.1M4,20201110_1014,2020-11-13
7.4.1M5,20201208_1239,2020-12-15
7.4.1M6,20210107_1111,2021-01-13
7.4.1M7,20210309_1053,2021-03-17
7.4.1M8,20210406_1041,2021-04-07
7.4.1M9,20210504_0925,2021-05-07
7.4.1M10,20210611_1030,2021-06-16
7.4.1M11,20210708_1030,2021-07-13
8.0.1M12,20210915_1333,2021-09-22
8.0.1,20211109_1610,2021-11-19
